id,nqubits,gamma
aaavmaiqiolnplcovmzxjazkyvyayz,5.0,1.053487969890162
aacrpcjsbugeteaageltzcpnpovkcm,5.0,1.041041083064645
aagtzdpchgtknrzilrnhpvxqtvqiql,5.0,0.670678879103224
aakxejqunlcpqhmnftnrckailrczyp,5.0,0.6419552941212625
aamubvrnvclubrlacivbhyuqbvmluu,5.0,1.9085475802467342
aaojbhezhdrzsnafslbqcktekuivyx,5.0,0.9956518347129414
aaqaicaovqbcmnzgawplpnakcvjaiw,5.0,1.8019112710012017
aasqepoevpwwbsjgimbzaqjexikohr,5.0,1.0836477341212214
aaudrwoonbesvjtlqyyspysbyrvwea,5.0,1.596986444395521
aaulmznuoiokptajlwoknlfprnczza,5.0,0.7729617699999273
aawmbezghwkdbvzmermserbrqwtras,5.0,0.4315176336271164
aayyfbqgwdhhgqkvtrvgmoviwyrmdf,5.0,1.4293480475395364
abalygwbieyizmbyftvlxdwxpeqvsd,5.0,1.0922648096158094
abbqwilbaqvvkfiubcsmxbarbwtzpu,5.0,1.5305332337237127
abfozeprhlmeuwsnfbktawaiptgwce,5.0,2.1082138963726442
ablxmahqryinbnfwclpobeuipchdxl,5.0,0.8593270075524605
abnkpkpckvzwrojqnwhpxzdgstvpvx,5.0,1.3169371008965893
abrgarzbbrsrqrvelbxoidxuzaocbs,5.0,2.435124197948593
abskbizkdkotcmrdjftmdvainojejv,5.0,1.521510362790251
abtpuvvntzroqfegvdixltflvuynkt,5.0,0.8420928565632836
abuwjklfnrnnpuzkgbrpucqhjmuitk,5.0,1.1220655290345949
abvktrzyqejzbexchgkmlrkruqbcbc,5.0,1.7658871081696592
abwzrdrirevblipzbbdfhpgrlwcqst,5.0,0.9784176837237646
abyordzvbjaxfagdcnypqydtfoxjsl,5.0,0.8033160168376358
acdwyhgspcrmiprfwjkmsvprkwzovi,5.0,0.6727134663727797
acjdimxkqejkngndlykgxntdtxrgij,5.0,1.435019833558435
aclwrzmpznazfkjktzcswfdxjprfth,5.0,1.0217723448059128
acmytwrzsryokoglmrszxpzcojzgvv,5.0,1.2311253907629796
acsalnehtsadlpntbwjiykzkxqytie,5.0,1.1763579667156678
acsfrumemgznoowbsaxdcckxyckfkr,5.0,1.7894643841756852
actdibrfcywgrgivmomdlfeugabzgl,5.0,1.1359485951092092
acwnritnojbjvofswbbkdagyvldelk,5.0,1.880542084889322
acyaprcxzfmeeztxitmjrdfzrdwohm,5.0,0.9938079899999062
acyenjvndejjyhbcfmkjefgzjtjqjt,5.0,0.6865965324473943
acyirmkrzendqwrztzlnnjqzisucva,5.0,2.2775932865631483
acymmytzmxcthfujfhbtpnttnnzshv,5.0,0.9638165280246009
adiqhbgdbmyqjooqzmxxitjaxpewza,5.0,0.3312693299999687
adixdhcdgznqvhgzunfowlviiuswjj,5.0,1.1919595858240342
adiyokpafmnkdpejkuubizebocpaqx,5.0,1.7268409848348054
adjhbgmmgycmlsxkhqlgnqygautiab,5.0,1.1601242791356936
adjwvqcxxquimbqcvmdpmybznzxjze,5.0,1.7633438740827139
adlaclqfukqnzkqcrjzwqgmqjqaylg,5.0,0.8770398849580033
adnofeoyrjirhmwolzkbaojehkdmts,5.0,0.4840653379235434
adojcouzzdjzmosipzkkrgopmhshty,5.0,1.1187144441200325
adrbnkdunczbzdlxltselyduiklibq,5.0,1.521510362790251
adrfrstgtgwtgbsiyiggutmvxlsskc,5.0,0.7038306834365714
adtkosbacthvhobbhrmjippeluplna,5.0,0.47304715024686916
adtslzyuhzogofxualjauodovxelrn,5.0,1.705298296098334
adupjdcojqtdtakvsckocfyosyiefx,5.0,1.484096771336208
advghskgiqezslqijydzkbvarlxled,5.0,0.9293407459459911
adwrlomwiuacpscezyvzyojbskytjl,5.0,2.5014352867155427
adwzhhgfjdmcxhjzhjbbanhnhbfhwo,5.0,1.2039277462331852
adyvwxpdxfunaanhewypcctqeyolul,5.0,1.100881885110398
aeafeppxkiayhdxsqcmhfutkxcodft,5.0,0.5151825549873351
aecrjyuuichltkghrbdkrzmjbvohou,5.0,1.688064145109157
aeeyobghzprdvglhhrmubsejqjgujy,5.0,0.677022004120074
aefxwqclmospzsndhfjesupwiihfoe,5.0,0.8033160168376358
aemdupjfhnladjegydconncmnwmurq,5.0,1.5931566330645928
aemtryfkrjewtzygbkhqcsmdzxjwji,5.0,1.8982549622948646
aencwtotgrynxfdxhksvqojkfzqfxg,5.0,0.6031784543956147
aengonthqqxkatlyypfbqwotdzmyyg,5.0,0.5896544331332746
aeterufuxidgpgqwhonmzbixnvdbbg,5.0,1.0193787127240825
aeudfkydkecwwuxsvoynoyjydoovcc,5.0,2.431152264712806
aeymippoeweazuiuyqzbtqtjgdckfk,5.0,1.6804045224473005
afelussoquawkwauzkuniympydbqqj,5.0,1.1832994997529749
affscnrksxcwwepgcftpkbqynxqtle,5.0,1.5106586073442667
afhgjomhrflhwzvbstolrzbfpmbyqf,5.0,0.7184318391357352
afhqzblofznwkrxfhlkqduhpmyqxbe,5.0,1.2837852965632421
afisqbjoojbuqkumlgmgfickxfswhu,5.0,2.674212512447207
afkyndkijlgvnxwmeslxxcmwlwqqyj,5.0,0.9255109346150634
aflvqvgqujxhfcfvakcfkiwkbatgmb,5.0,1.535320497887373
afpjqdaqzuixyoohelzstyirezsgpn,5.0,1.4737966732840833
afppukhsrnwpgebfjjabkjmbwyyzvv,5.0,1.2234657681011232
afsqqhvjfxksgpbxudwxrqijaupood,5.0,1.9016060472094267
aftpiupqhvamqgnyakzxxspnorrzxa,5.0,1.1842999631621778
aftrmqaiiwbhznizctjywoderwhmic,5.0,1.170895623503929
afvzgqmqyrsoorpmlovjbcyfhjmleh,5.0,0.834433233901427
afwczawsipuxttiweisstbunhtacrg,5.0,1.330059066770184
afxbxcwhjowsiiqwvnavfuagfralzh,5.0,0.7598416741513961
afxgqmkicmuwfbmpyosavneqvmyfca,5.0,0.9938079899999062
agbbzruoievjmygscoxoonotpffjyu,5.0,1.0836477341212214
agckbfwixdtulsntggzeacemjzqzpz,5.0,1.7230111735038767
agexxdnmkptpfttrkqljjsavhwblxh,5.0,1.2311253907629796
aggepiupqimjyxkifcbfvezagjpcno,5.0,1.547909506617748
aglapehpxktgwpqhvodaptoblvdrdc,5.0,0.8953511703840037
aglmazkguoxhzkqjjpskqdajqmkyka,5.0,0.46610561720956184
agmgnchoarcerhscttzqdeoilpqukb,5.0,1.4388496448893633
agqdidrzxhiaykiizjvtqhaxdtnscq,5.0,0.9293407459459911
agrsabdshlsqfmdoukbsjvxmmrqvkx,5.0,0.9341280101096515
agskbxqbffygrmiydlxkrdfdsxblsf,5.0,2.339468675878457
agxpsnygjrksavqpdhhoojpuhclxyk,5.0,0.6990434192729108
agydwbwavbaoaxfrrkrdpbxqwjdhxz,5.0,1.1919595858240342
agynkjlldbqgkmfpzzavncxewljzpd,5.0,0.7333022784441046
agynmamgqddnqzvekbcpcozgvhdgdz,5.0,0.49794840399815804
ahbugryzeryglretfjcbhfgciwzvuk,5.0,1.0922648096158094
ahdfxvbqcayysscmqwjwhdftfeksxv,5.0,0.94274508560424
ahopunqobyibklzcwgelucjizvbvqr,5.0,1.5308025173329183
ahorkjbmsqotcpjwypjoayltpnmjqb,5.0,1.427433141874072
ahtrgjlemgvdztjtjqareqlzhehlnr,5.0,0.677022004120074
ahwdzldineeodasgtaxpcfwlrrchwo,5.0,1.1601242791356936
ahwlbiigmtecbhysajsqgplyirfsgx,5.0,1.0970520737794698
ahyhgdvnildpszxclkdnhcuhvvtbjc,5.0,1.170895623503929
ahzoxnjbulqwgdfemfsxfipdwblzxa,5.0,0.6990434192729108
ahzzlpoduyhdjzjmnrovbquurzvrsv,5.0,2.252220786495749
aiaymkmwqpbtnuauyiyrlbzollwiis,5.0,1.5267258626935516
aibaaabyriplvbqhqnisvnorbzxyrz,5.0,1.058275234053822
aicovumfbpwvhnqoazcrwbucvqibso,5.0,0.6553596337795112
aifdomxdzhmnxhjsvyflfhguijpxjp,5.0,0.5151825549873351
aifnfwtzajdvfdstpehvmewzxmbsfk,5.0,1.4474667203839515
aifwhlmmjasvwvmlxxpxkzjrcbnrdt,5.0,1.5811884726554422
aifwnatwhukmvwavodgvieppygrbxz,5.0,1.6568272464412743
aiihbgwcagufanadivntfhcptrteji,5.0,1.6587421521067378
aijnxsthqfggywfhankhrfxrsyczsn,5.0,1.540107762051033
ailrtsfequsmtgwrxjjftokrypcahe,5.0,1.1047116964413264
aimvblhjfumeelxghojoesihtuliih,5.0,1.079817922790293
ainbhfymactkpdrxlniiszasupokut,5.0,2.231762712296357
ainjiuivvexlzzspnkkrvqfrutmaxg,5.0,0.8593270075524605
aiqusyiryljtdbawirlvlggizhokuq,5.0,0.3442697442444087
airuvnimajrflobnbielkxjjqqylqh,5.0,0.878715427415284
aisblcrybplfoxoluxxpmfscqcgvia,5.0,1.9140005733331535
aisgoqdqskpktivgefbfeakzepbudb,5.0,0.8420928565632836
aisjpwjvhavtfsmhcnyxecnoqhcplt,5.0,1.4232311955554215
aitvggwyocheduouvlwmbbntzkbymo,5.0,1.167065812173001
aivzzpoextvkiymxjwbqcwlwvpzbuv,5.0,0.8205501678268124
aiydnlahrbwghvadxvqhihwviiyskg,5.0,1.9683958623927436
aizwcqphvgicruxneyneafijtscncz,5.0,1.3456606858785505
ajcvfmahfckeihjnnejurzqageyelh,5.0,1.7517347584858383
ajcwgdwcafebkdkifyvuleayduxuuy,5.0,1.0236872504713768
ajdmquzbdccqvnrvqhsspwjsfykpdh,5.0,1.2112283240827664
ajedzhlnetvfjepqpjcfeadmtxdeno,5.0,0.7644194955078961
ajeezhykfzimrujbpwjhlbxwiwtzcv,5.0,0.8669866302143167
ajlbftyriyenixupibyglymklosfmt,5.0,1.8767122735583928
ajlbjibvftwyqrveplaexmwbjbemdz,5.0,1.3053279852997133
ajltxkuxokgifokhbmympylhvciuxu,5.0,1.2137715581697113
ajoxozbbcqsquaofmyxpcwdjdvfyet,5.0,1.1601242791356936
ajpgryccxyctwbbrrsjdgnrnqlmnoj,5.0,0.48071425300898146
ajpreuhbrjhibjvixktqiifrbdxgvm,5.0,1.1531827460983863
ajrlfuhwfmtwojvnpspufgbyoufrge,5.0,1.2545829851649146
ajtzkhfutekbxrnjcgtxkngfqsaahr,5.0,0.5834309897205163
ajudjacgsgfwgfibdngrxjqvdwjipj,5.0,0.9147395902468277
ajvxxnuzzornzzdrixdopjdbahehub,5.0,1.1601242791356936
ajwpesaehsirfdxaderchdkxlytevk,5.0,1.2497957210012545
ajxzhnfzzmkmfoojqixxskgtrgsrvc,5.0,1.1321187837782813
akeyxnaxtvyypjvswrhcnlimxtuncg,5.0,1.5029989846824108
akgarvehgbevxxfqghpgoifmkxvkhh,5.0,2.197735736233091
akgdchzrqbyvdtejfosxqemsrkaxae,5.0,1.5725713971608541
akokeckabzycaqvzneyrwifjwcwdxh,5.0,1.1601242791356936
akpzrrxbotdoeklmgcdipqgwvpwqqe,5.0,2.0985196864412328
akqgfoxuexeyymhpjogbarxunxfhxc,5.0,1.7230111735038767
akqzimzxpwovhdcldsdjhanfmnkjhf,5.0,1.484096771336208
